"","probeID","m1_beta","m1_pval","m2_beta","m2_pval","m2_percent","m3_beta","m3_pval","m3_percent","m4_beta","m4_pval","m4_percent","m5_beta","m5_pval","m5_percent","m6_beta","m6_pval","m6_percent","m7_beta","m7_pval","m7_percent","m8_beta","m8_pval","m8_percent","m9_beta","m9_pval","m9_percent","m10_beta","m10_pval","m10_percent","nomed_beta","nomed_pval","nomed_percent"
"1","cg25472882",16.6985633541626,0.0183903636842864,15.5627857591337,0.037807420293464,6.80164856664661,16.6027717148132,0.0185051639986081,0.573651980219709,16.8350860070526,0.0187930007386717,0.817571248462378,16.1490200563913,0.0244077240708665,3.29096154031927,16.087034687431,0.0328623383268027,3.66216334759832,16.6534788809308,0.0188982703743895,0.269990131939041,17.8439227481431,0.011917561748042,6.859029544568,18.2475729689886,0.0101303565441016,9.27630468545576,18.5027069772169,0.0179274788674208,10.8041846761896,16.7373760060898,0.0186392904272266,0.232431084662519
"2","cg12833508",-15.1112264518533,4.50930996029812e-06,-14.8671551984701,7.64799517046132e-06,1.61516508379247,-14.8332542466772,6.58413416364382e-06,1.83950790534268,-14.3317973178906,1.64072466720119e-05,5.1579475461244,-14.4230026316294,1.71188249845186e-05,4.55438757679075,-15.0516101855565,6.03770159407895e-06,0.394516398035239,-14.7125761719011,1.1018962859506e-05,2.63810671636965,-15.7242988217085,1.78800321774091e-06,4.05706559827252,-16.2426240259412,8.67881277364961e-07,7.48713268041279,-15.2459527120749,1.16311271882089e-05,0.891564034533314,-15.1231074709622,5.03928278747747e-06,0.0786237910387203
"3","cg13687497",-20.903035650178,1.24183070986847e-06,-20.4636706007652,3.67487992515436e-06,2.10191982047884,-20.4018589244075,3.31081310276554e-06,2.39762651778399,-21.0566185895109,2.02675063394139e-06,0.734739881341208,-20.8037655453002,3.48440107411608e-06,0.474907599734324,-20.7584614185295,2.01799726433431e-06,0.691642276595732,-20.2724523820835,3.8413952812036e-06,3.01670665757666,-20.4032889543655,3.20843128027917e-06,2.39078526284878,-20.3055980025404,3.12845253814361e-06,2.8581382036373,-19.2028457314621,8.60667643868767e-05,8.13369860325259,-20.9030569191172,1.40610218700259e-06,0.000101750480488449
"4","cg26609398",-14.4815362983872,1.21988501860733e-06,-14.2038796179371,3.13687650904149e-06,1.91731508818601,-14.1385069780522,3.29292051091278e-06,2.36873570087443,-14.4572767474541,3.00190058398884e-06,0.167520561584345,-14.4966351156129,1.91692862628406e-06,0.104262537583556,-14.55829147008,1.30765366211038e-06,0.53002091843923,-14.1144874014571,2.70426339383124e-06,2.53459915693414,-14.3676225915387,2.69219545727385e-06,0.786613412426163,-14.454362506605,2.25347155604923e-06,0.18764439920092,-14.0198266585266,4.97825779489536e-05,3.18826421691157,-14.5192418942297,1.35911245341381e-06,0.260370136604129
"5","cg00181327",-25.39752927734,0.000308263270509858,-24.7369911951862,0.000597124283264961,2.60079661663408,-24.6653064947945,0.00046180326009087,2.88304730176568,-26.4699043244261,0.000189365890963207,4.22235972395522,-25.5642960319369,0.000343476979627043,0.656625897644971,-25.2957135589278,0.000419116978473759,0.400888280510869,-25.0603203886725,0.000406370613489969,1.32772320088754,-24.7296195222875,0.000513862725156416,2.62982177423222,-24.6092000886584,0.000491272131951555,3.10396015326164,-24.4298486996126,0.00121566443186749,3.81013667573856,-25.4731937608781,0.00031562635834291,0.297920646972874
"6","cg00331852",-19.1815636040758,5.52419653717386e-05,-18.8321729970054,8.9521707889817e-05,1.82149179431903,-18.6072256666875,0.000159716331868664,2.99421855925359,-18.2828198428604,0.000191940447364851,4.68545620037163,-18.6807083912286,0.000137901100096286,2.61112818112861,-19.222919114516,6.30223117425865e-05,0.215600309202335,-18.4882216603276,0.000135111920175582,3.6146268263596,-18.6064858024383,0.000104333179861421,2.99807572264459,-18.5175717985135,0.000111664992285222,3.46161459653476,-16.0559803703247,0.00332548674497394,16.2947260101723,-19.18072296328,5.94287477250207e-05,0.00438254572546463
"7","cg00583046",-15.8424293799257,0.00065134564164764,-15.1911289559133,0.00129224928187664,4.11111457967217,-15.078305840226,0.0014335873720329,4.82327250054191,-15.4017073671849,0.00100031307474514,2.78190927774793,-15.7815168961163,0.000727490351527685,0.384489539758526,-15.5477300478417,0.000964068778465754,1.86019028405713,-15.4512981258143,0.00122873795540129,2.46888431522394,-15.2277200234175,0.00122217446098753,3.88014578930106,-15.0991484086328,0.00143854491083873,4.69171080689627,-12.7271047301507,0.0131787804293096,19.6644376633454,-15.9244304092752,0.000651961184756877,0.517603881216886
"8","cg01769243",-21.0467014433184,7.03076483519512e-05,-20.6326938748675,0.000108346983536877,1.96709004290218,-20.3559668056624,0.000133849319307855,3.28191398313077,-21.2141161449284,7.00937230056504e-05,0.795443894430975,-21.6863566340918,8.05963657069212e-05,3.0392182475533,-20.8257977514955,9.87243301431135e-05,1.0495881856728,-20.7424770436363,0.000114063557999096,1.44547306142672,-21.2348199853509,6.43667226128611e-05,0.893814845709491,-21.1349269694772,6.65585269237367e-05,0.419189327108426,-21.1016959415727,0.000236389091691904,0.261297469356146,-21.036031181543,7.68182753283527e-05,0.0506980241259085
"9","cg01904985",-26.8523641990618,0.000349061503623539,-26.422578905923,0.000589109423153243,1.60054917307377,-26.163675843337,0.000488790363929768,2.56472149200507,-26.041361272711,0.000480277205857484,3.0202291326706,-26.4995062843414,0.00039498344337902,1.31406647140866,-27.3862123703758,0.000318455855925592,1.98808629049006,-26.1128765005947,0.000739796617416311,2.75390164152835,-25.8959469710493,0.000627347441938282,3.56176171648215,-25.5664980729826,0.000818980173255692,4.78865144441983,-24.3097958827818,0.00385827053941605,9.46869444132176,-27.55043247802,0.000290984228556594,2.59965295339843
"10","cg02374944",-20.9896139077515,9.24099085381292e-06,-20.3384821224032,2.33673648111085e-05,3.10216180349964,-20.3830091440873,2.38811424902239e-05,2.89002344840742,-22.3013795089384,2.94741163830443e-06,6.2495937607622,-22.7346901520882,2.61621469545101e-06,8.31399878056949,-20.9861758551512,1.07043124458392e-05,0.0163797800925035,-20.619491302571,2.63707341546046e-05,1.76336071166991,-20.7940522185611,2.05380243700449e-05,0.931706938726365,-20.4751958964238,2.55460563880622e-05,2.45082169490387,-22.0952652624609,6.51498861492602e-05,5.2676116843724,-20.9832464128145,1.01536762463233e-05,0.0303364081160299
"11","cg03737424",-16.190593479298,8.84522799962284e-05,-17.2601125384705,3.96190610950856e-05,6.6058051580381,-15.5854731294982,0.000210797035896586,3.73748096741199,-19.07461565249,8.44033933342704e-06,17.8129490860208,-20.0503227789849,3.93121254497608e-06,23.8393317985661,-17.3326015089833,4.10462433309279e-05,7.05352790893974,-16.3600283276111,9.46612423369883e-05,1.04650177604507,-15.7414047903459,0.000203843338851332,2.77438062740854,-15.521731265758,0.000229900621323445,4.13117786198071,-19.870463509483,4.14865121523185e-05,22.7284443580786,-16.2916099782005,9.38818672197257e-05,0.623920914521419
"12","cg11335203",-14.6470883478367,0.00738167244675451,-15.6253549961563,0.00446275627139063,6.67891546147547,-14.1914856112327,0.00930358721492392,3.11053450204189,-16.7250226551159,0.00237754565058095,14.1866714935608,-16.4760920397417,0.00326725335490329,12.4871486296126,-14.9543811548773,0.00663333980053764,2.09797879102699,-14.0831140640245,0.0123724651980004,3.85041907592155,-14.3920830636013,0.0096647153529573,1.74099642317683,-14.3002301768172,0.0118086158198849,2.36810322148879,-17.0942704052306,0.00515516913457671,16.7076349870953,-14.6369279850337,0.00768298559105259,0.0693677989897337
"13","cg13588265",-20.141946679568,0.00146227089032743,-20.1202954510055,0.00170209786337641,0.107493227476703,-20.4033412218463,0.00119196843478765,1.29776206062267,-18.7665059933664,0.00323108684829617,6.82873759961301,-19.122514355605,0.00270870627837199,5.06124030701147,-20.7674686431138,0.00121943906692822,3.10556856046263,-19.8399606513087,0.00187305881874561,1.49928918521906,-20.778799496302,0.00117954548257954,3.16182356584208,-20.6063937325634,0.00139142911113327,2.30586973734026,-18.6049204404226,0.00711775952567044,7.63097164140856,-20.2211630559272,0.00147761548468855,0.39329056728935
"14","cg13776718",-16.9428311641226,0.000713292133091304,-16.8700280936246,0.00081323717904067,0.429698376810612,-16.0969832597569,0.00175450065147466,4.99236459463051,-17.9672363501367,0.000423946098850488,6.04624561320843,-17.2846114666456,0.000706179607117125,2.0172561433935,-17.7702087946187,0.000445407737166119,4.88334932032008,-16.4158602124839,0.00114187884331014,3.11028863201173,-16.2398536964467,0.00135810711852966,4.14911451850197,-16.3833599771611,0.00112526892181428,3.30211156294954,-16.5232513948643,0.00334737290891909,2.4764442565347,-16.9374013359416,0.000754626576060636,0.0320479389091052
"15","cg18371750",-24.531832071777,0.0091043158544691,-24.8203110466126,0.0105366776312213,1.17593734537039,-23.1674892416142,0.0142452893885011,5.56152033884344,-29.4744932014449,0.00170674019502311,20.1479494691073,-29.3486006881741,0.00188415489240351,19.6347692349427,-25.5533851018005,0.00840505018959686,4.16419379944625,-23.2515309402119,0.0179632506673178,5.21893810384444,-23.8669477532885,0.0153108568905573,2.71029214835294,-23.3624572613501,0.0185960107266373,4.76676510341965,-25.4258714900628,0.0182761391020906,3.64440542259495,-24.5005427036528,0.00955248537283337,0.127545990176048
"16","cg21883754",18.7846513853368,0.108925616057033,18.7746918455156,0.115914547767459,0.0530195616456043,19.7608060171647,0.0904468645347395,5.19655441990184,16.2558559112438,0.172531253091396,13.4620303684046,16.9871308231626,0.154832193455838,9.56909194267678,18.9416921874615,0.114371163454815,0.836005943913036,17.2271164380625,0.145845613439061,8.29152969264073,18.0752719625676,0.12390638124232,3.77637789606758,19.3440366032611,0.101157066247772,2.97788447839372,18.1225835265407,0.154228059340379,3.52451501608865,18.7609711132052,0.110911369573593,0.126061813157234
"17","cg23574298",-19.624782366369,0.0011145866703619,-19.1875155420524,0.00196212270208573,2.22813591587102,-18.9614200299682,0.00165286727325502,3.38022773458969,-19.822171487569,0.000993291330082314,1.00581559333986,-19.9068939555584,0.00100664914937823,1.43752722411257,-19.6906380286508,0.00141867089813754,0.335573975050064,-18.5550723957295,0.00252732727904058,5.45081189013672,-19.3601670017772,0.00208693956582987,1.34837349862949,-18.7616765592774,0.002527283798599,4.39804014627318,-16.2586500081013,0.0154759104470423,17.1524570078099,-19.6147084242317,0.00117793180451331,0.0513327584953923
