"","probeID","m1_beta","m1_pval","m10_beta","m10_pval","m10_percent","m10_prop_perm_higher"
"1","cg25472882",16.6985633541626,0.0183903636842864,18.5027069772169,0.0179274788674208,10.8041846761896,0.5281
"2","cg12833508",-15.1112264518533,4.50930996029812e-06,-15.2459527120749,1.16311271882089e-05,0.891564034533314,0.9119
"3","cg13687497",-20.903035650178,1.24183070986847e-06,-19.2028457314621,8.60667643868767e-05,8.13369860325259,0.3382
"4","cg26609398",-14.4815362983872,1.21988501860733e-06,-14.0198266585266,4.97825779489536e-05,3.18826421691157,0.6992
"5","cg00181327",-25.39752927734,0.000308263270509858,-24.4298486996126,0.00121566443186749,3.81013667573856,0.7366
"6","cg00331852",-19.1815636040758,5.52419653717386e-05,-16.0559803703247,0.00332548674497394,16.2947260101723,0.1196
"7","cg00583046",-15.8424293799257,0.00065134564164764,-12.7271047301507,0.0131787804293096,19.6644376633454,0.0951
"8","cg01769243",-21.0467014433184,7.03076483519512e-05,-21.1016959415727,0.000236389091691904,0.261297469356146,0.9775
"9","cg01904985",-26.8523641990618,0.000349061503623539,-24.3097958827818,0.00385827053941605,9.46869444132176,0.4012
"10","cg02374944",-20.9896139077515,9.24099085381292e-06,-22.0952652624609,6.51498861492602e-05,5.2676116843724,0.5081
"11","cg03737424",-16.190593479298,8.84522799962284e-05,-19.870463509483,4.14865121523185e-05,22.7284443580786,0.0344
"12","cg11335203",-14.6470883478367,0.00738167244675451,-17.0942704052306,0.00515516913457671,16.7076349870953,0.2672
"13","cg13588265",-20.141946679568,0.00146227089032743,-18.6049204404226,0.00711775952567044,7.63097164140856,0.5529
"14","cg13776718",-16.9428311641226,0.000713292133091304,-16.5232513948643,0.00334737290891909,2.4764442565347,0.8477
"15","cg18371750",-24.531832071777,0.0091043158544691,-25.4258714900628,0.0182761391020906,3.64440542259495,0.8045
"16","cg21883754",18.7846513853368,0.108925616057033,18.1225835265407,0.154228059340379,3.52451501608865,0.875
"17","cg23574298",-19.624782366369,0.0011145866703619,-16.2586500081013,0.0154759104470423,17.1524570078099,0.1924
"18","cg26130090",-10.9313728658328,9.88484914152109e-05,-9.08397843747129,0.0031537440361107,16.8999306037375,0.0962
